"@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia"," surprise"
"fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw"," surprise"
"dammit! hulu desktop has totally screwed up my ability to talk to a particular port on one of our dev servers. so i can't watch and code"," surprise"
"@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you"," surprise"
"I can't sleep...I keep thinking about the puppy I played with today"," surprise"
".. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh"," surprise"
"@lepetitagneau what's going on sweetheart?","neutral"
"How can it be so freaking difficult to get a system-wide spellchecker? Shit, I'd settle for an office suite one. Stupid unhelpful Windows"," surprise"
"Last one month due to summer, strawberry is not availble in the Chennai markets!"," surprise"
"@willxxmobb work at 6am. Gotta go to bed soon","neutral"
"@RobertF3 correct! I ADORE him. I just plucked him up and put him under my arm cuz he was cryin.  All better now! Hahaha"," surprise"
"@sweeetnspicy hiii im on my ipod...i cant fall asleep","neutral"
"dont wanna work 11-830 tomorrow  but i get paid"," surprise"
"feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux"," surprise"
"PrinceCharming"," surprise"
"@ cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS"," surprise"
"First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  )"," surprise"
"@mrgenius23 You win ... SIGH Rakeem"," surprise"
"Oh is that time for real?"," surprise"
"Darn these allergies! I don't like this time of year because of this! I never used to have this problem either"," surprise"
"Oh no one minute too late! Oh well"," surprise"
"@soviet_star Damn, that sucks","@neutral i will give you sadness"
"@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS"," surprise"
"@mileycyrus THIS WEBSITE GAVE ME A VIRUS! When i opened it more windows kept POPPING up"," surprise"
"ahh! big scary bug flying around my room!!!!!"," surprise"
"I wish she knew what she puts me through..She stole my heart, never gave it back..and occasionally she likes to be like look what I have!"," surprise"
"is up with a nasty cough i cant be sick i have a huge weekend ahead of me"," surprise"
"@justamedicine  That was stone cold   Crazy....  ?"," surprise"
"i'm so tired","neutral"
"shift time  bbye biochem waaaaahhhhhh!! http://plurk.com/p/wxizo"," surprise"
"@melbournegirl I'm sure some1 will cum out and play. I'm workin through til midnight."," surprise"
"@thecreativeone I second that. I wish it rained more where I am"," neutral"
"@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!"," surprise"
"damn it were is Eric or anyone else when you need your hair to be played with"," surprise"
"I'm feel deflated. Ugh. No more dog."," sadness"
"Allergies suck ducks nuts.     &lt;=====8@8=====&gt;"," sadness"
"Well it almost was a good day... Guess I just retry tomorrow"," sadness"
"@IamYeTe Waraku is tasteless and expensive! Portion is so little!!!!!  re: waraku"," surprise"
"@freepbx sounds good. Appreciate the suggestion. Been a week now and we're still offline  Time to ask for a refund..."," surprise"
"@poinktoinkdoink He died.  Wait, what about Magic Jack? I just read it."," surprise"
"@britblackbird  youstinkatrespondingtotexts!"," sadness"
"wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54"," surprise"
"Need to pack for CALI CALI! Cannot waittt! Thinking a glass of wine is in order to celebrate my weekend vaca. Still work 2morrow, tho."," surprise"
"Is miserable  i feel like im gona cry  sux!","happiness"
"@megturney well I ran out of beer so I left. Not sure about the ETA. Waiting waiting waiting. Bleh  Gonna be a long nite methinks."," surprise"
"$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one"," surprise"
"claire @breakfastnt love the show, got into the office @ 5am and no radio","love"
"Pats in philly at 2 am. I love it. Mmm cheesesteak.  Miss my boyfriend   but I love vacation."," surprise"
"*sigh* I'm going to bed... I just don't feel right anymore..."," sadness"
"What? I focused on Tom so much I didn't see my beloved Barack! Oh no! I must vote for both! Poor president only has 626 votes."," surprise"
"@jwillock EpiCentre Wheelock Place - tourists only..","neutral"
"Now I am depressed after watching so you think you can dance"," surprise"
"Just cross 'cause I'm stuck twiddling my thumbs now, ugh"," surprise"
"miss 16'th"," surprise"
"@TheHarvardian I know. But like I said, I have no idea how long it takes for them to investigate this stuff."," surprise"
"I cant sleep, but im too sore to move"," boredom"
"@LaFloozita http://twitpic.com/4phze - Awe! I miss my baby"," surprise"
"@softtouchme just answered you- never learned how to write in French- just basic stuff-"," surprise"
"what is it with chocolates? i just can never say no"," surprise"
"Achieving a new appreciation on how a xml build script can really be painful and cumbersome"," surprise"
"@ether_radio i'm too awake now  ill have a nap this afternoon","neutral"
"@omfgiselle i cant do anything"," surprise"
"still needs another 6 hours of sleep","neutral"
"I'm at work","neutral"
"RIP leonardo. You were a great mini fiddler crab"," surprise"
"Morning tweeple,way to early again","happy"
"Last day working for the Uni today, sad times"," sad"
"@NisforNeemah thanks neemah. I'm gonna be soooo close to you and izzy, yet so far"," surprise"
"My head hurts so bad I could scream!"," surprise"
"i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain"," surprise"
"New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice"," surprise"
"New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ..."," surprise"
"where are all ma bestfriends at ? , MIA or wat ?"," surprise"
"oh men!!!!!!......I really can't see my face........c'mon guys!!!"," surprise"
"I'm showing my age. Renewed my tags last week, went down $20. Got my insurance renewal email today, went down $100. I don't wanna be old"," surprise"
"my sole supporter is not my sole supporter"," surprise"
"don't you hate it when you finish all your work and there's still 1.25 hours left of work time","neutral"
"@Emilyyy16 urgh stop it guys"," surprise"
"is still missing her husband.    I really want him home."," sadness"
"I miss my puppy","love"
"2 days of this month left, and I only have 400MB left on my onpeak downloads."," surprise"
"@IdleThumbs Up is out?  I didn't get the memo   It looks amazing."," neutral"
"@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones)"," surprise"
"Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?"," surprise"
"@BarbSchaefer yearling in pet home died... very sad for their whole family","sadness"
"fun in the sun hmmm hell no it's cold","neutral"
"I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!"," surprise"
"@heresmyhello92 We hate change, so of course. We're fans for life. &lt;3 Oh and if we haven't met Rob by then something went horribly wrong."," surprise"
"is feeling sad... for some reason..  http://plurk.com/p/wxji3"," surprise"
"well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased."," surprise"
"just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad"," surprise"
"@juneyee i don't think so.  I WANT DETAILS.","neutral"
"@jackgraycnn Hi...!!! Who is Mary Poppins???"," surprise"
"@jaychuck Its so addicting, but its kind of a curse to do them at night time. Everytime i do one, i feel like making music afterwards"," surprise"
"my last tweet didn't send  bad phone"," surprise"
"@relly1  OMG Ur alive!!! LOL  2day has gone sooo slow  I'm going insane Grrr You doing anything tonight?"," surprise"
"Have a headache  I'm going to bed. Goodnight!"," sadness"
"@taxidermi  I was watching Parental Control"," surprise"
"@JessiJaeJoplin did you get them from california vintage? ahahah they have the BEST dresses, i want them but i dont have ebay"," surprise"
"I just saw pics from this past Thanksgiving and am sad because Grandma was in them."," sadness"
"@jertronic it wont let me"," surprise"
"Took a shift tomorrow.    I don't really feel like working right now."," neutral"
"but now i have no money for a phone"," surprise"
"Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted."," surprise"
"@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything"," surprise"
"@Bern_morley where are you? In Bris? I can't hear any thunder"," neutral"
"bec vs fat food   --- winner = fat food  but not this weeknend, ill beat it!"," surprise"
"Too bad the Red Devils.. disappointing to say the least"," surprise"
"I had a dream about a pretty pretty beach and there was no beach when I woke up"," surprise"
"@xdjio Have a 3ware 9650SE, not fast enough for 3x X25-M SSD RAID5. 800Mhz IOP on the HPT. Might try an Adaptec 5405 (1.2Ghz)."," surprise"
"when da heck will the garage man get here I ask you.. WHEN.."," surprise"
"Ate Mandy, please forgive me. I really am sorry. I don't wanna lose my Bff"," surprise"
"@melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww."," surprise"
"why are plane tickets so expensive","neutral"
"(@wendyisastar) @melluffsyew Umm yeah. That's probably a pretty good note to self because eeeeeewwwwwwww."," surprise"
"Needs a job BADLY!!!"," surprise"
"@AlexanderGWhite daaammmnnnnn I do wish I was there."," surprise"
"Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb"," surprise"
"@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner"," surprise"
"@DymeDiva23 Nite. Now I'm up n bored as opposed to almost sleep frm b 4"," surprise"
"is a bad friend","hate"
"@rlcpbiatch happy birthdayyy! hope you have an awesome day. didn't see you at next last night!","@rlcpbiatch love"
"@SparkDawgMusic im doing that shit right now ... im on vacation and you got me workin"," surprise"
"@aiderushton ill be over in an oir","neutral"
"@only1kcj guess its a no go girlie. I'm still at the gym and work at 6:30am"," surprise"
"would wish the severe migrains would stop!!! doc's prescriptions arent working"," surprise"
"@bobbyedner i missed the game"," surprise"
"@moggy99 No internet last night; ER was brill, there was a massive explosion at the end of a nearby gas works ER on standby"," surprise"
"@tiffalo cuz airlines are super lame."," surprise"
"@lenje - Still a pity it comes with no lamb though","@lenje - i will give you sad"
"@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us."," surprise"
"is done painting all the bedroom furniture, I still have to do the table but it will wait until after the move. Uggh moving in the heat"," surprise"
"I'm so very tired...and have insomnia.","happiness"
"@juiceegapeach A hungry fool. Ill probably never see that Krispy Kreme again. Had to enjoy it. They closing down"," surprise"
"@yelgiuQnayR airport? and you didnt show up tonight homo!","neutral"
"I hate Bakersfield and I hate the Ports, let me go home already.  I want to start my vacation."," surprise"
"@MrRathbone what about me"," surprise"
"Looking for desktop twitter app that will actually let you access URLs, any suggestions? I liked Twittle but no linking"," surprise"
"people in my house do not know how to close doors"," surprise"
"Why am I completing facebook quizzes at this time of the morning... especially a friday morning"," neutral"
"out with @lizzziemonster &amp; @jamiejamess i am soooo hungry"," surprise"
"@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death"," surprise"
"Had to cancel wow for now"," boredom"
"wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio"," surprise"
"@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits."," surprise"
"It's 1:15 AM, and I hear a helicopter flying over my house. That's kind of weird. In other news, my headache is back. BOOOOO."," surprise"
"@__sugar oh no  i am always here ;) &lt;3"," surprise"
"back from school. Ms Suhana's last day as our FT  OCU was okay. I'm playing ALTNOY over and over again."," surprise"
"@ poll : was trying to get it to work in a powerpoint to no avail."," surprise"
"took a math test today. The day before the test, the teacher says bring your calculator. Luke was confident. Teacher decided no calcs."," surprise"
"omg, the concert was awesome, madrigals gave me chills on almost every piece...brooks also called up alumni, but i didnt get to go"," surprise"
"@livestrongnj yeah, it's terrible  cockatoos are the hardest to live with, so emotional. good thing he found you, though!!"," surprise"
"Up late with nothin 2 do....."," bored"
"i think the vog is making me sicker than i think. feeling slightly achy"," neutral"
"@TheTombert i was watching Harpers Island, lol... there was no vodka involved"," neutral"
"i am doing homework it sux big time maths is the worst!!!!!!"," surprise"
"@Nymo would have been better, IMO, if it let you play through all 3 songs provided. I just start to &quot;get it&quot; and it blacks out."," surprise"
"#3wordsaftersex it never started..."," surprise"
"sometimes i wish things could go back to the way they were the beginning of last summer"," surprise"
"I downloaded the new twitterfon update thinking they were fixing the typing problem for new tweets, but no, they didn't"," surprise"
"@tarng Trudy's off Burnet...the one up north that no one goes to"," surprise"
"@kateisbored I feel the same way, but I guess no matter where you are there will always be memes."," surprise"
"I Can`t do 30 minutes of Treadmill  but done 30 minutes for today already, gonna do 20 minutes more"," surprise"
"i'm sooooooooooooo confused"," surprise"
"With friends like VaikO,Nedumaran, LTTE didn't need enemies. Wrong advice at wrong time led to numerous deaths &amp; a lost cause as well"," anger"
"Work day 7 of 7,"," surprise"
"Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks"," surprise"
"I looove guitars, and playing them. I think they sound magnificent. If only i was better... If only"," surprise"
"@SuperJerry No refunds but they do retrieve accounts, takes like a week. Just hoping the thief doesn't use hacks or then it's permaban"," surprise"
"@mysticnz no im not  cries LOL"," surprise"
"Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL"," surprise"
"@Gurlstrange EpiCentre Wheelock Place, 250 units &amp; for tourists only. Starting today"," surprise"
"I hate the new mt dew commercial..the one with a giant mosquito..it scares me and grosses me out all at the same time."," surprise"
"Come on Knight... It's been well over 4 hours"," surprise"
"not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with"," surprise"
"@FoxxFiles aw u can't let me in on the secret!"," surprise"
"@freshypanda Im sorry  I don't think I stick out, at least compared to what I used to look like."," surprise"
"no transport for church  wont be making it, im crushed. Oh well, more time for assignments I suppose. My throat really hurts ..."," sadness"
"i HATE when i see pregnant women smokinggg!!!! its sooo irresponsible n selfish! its saaad. ultimately, the baby is the one who suffers."," surprise"
"Lies...lies...lies....you just cant avoid to lie about practically...EVERYTHING!"," surprise"
"twittascope is NOT rocking my socks - go away already!!"," surprise"
"Driving Back home because I forgot the piece of cake for @v_era"," surprise"
"@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz"," surprise"
"Everytime I send an email to my coach, I feel a need to practice.   shitty balls.  Lol"," surprise"
"It's pissing me off and not letting me follow ericka"," surprise"
"Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone...."," surprise"
"my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried."," surprise"
"@koifusionpdx i was so close to the tacos...one spot too late"," surprise"
"@msz_rockstar umm how bout em?..aint get 2 see da game  but i see dey survived anotha game of da series due to notin but Lebron im guessin"," surprise"
"is thinking so much and i'm at work"," boredom"
"I have forgot the live with the Jonas Brothers on Facebook"," surprise"
"I haven't seen Muffin in two whole days!"," surprise"
"@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards..."," surprise"
"my gap year is going so quick","surprise"
"I have to admit, I'm a bit bummed out that I wasn't with my friends walking today...."," surprise"
"@jennyvokals girl a blunt is soooooooo in my thoughts right now. I had an absolutly GREAT day with a few stressors...come home"," surprise"
"my twitter has been hacked again"," surprise"
"Just found mj mouse flats at DJs. Of course there are none left in my size"," surprise"
"@passingcarss i wont have time to buy  and i need a new binder pa"," surprise"
"@lanacaitlin  hahaha well its try its so ugly"," @lanacaitlin  surprise"
"25-man Ulduar is hard..."," surprise"
"@jmoriarty I don't even want to know WHY you know about VHEMT, but don't go - we'd miss you"," surprise"
"@OooChelcyooO That's awesome! We have that this weekend too but I can't go because I'm moving this Sat.  I should be a lot of fun though"," surprise"
"night night twitter world. [still cant believe the thomas thing  tomorrow's gunna be FUN/SAD]","fun"
"@princess_oats this is happening to me too"," surprise"
"@qi_tah oh no.  *hugs*","@qi_tah i will give you enthusiasm"
"@oxygen8705 bored now because i was talking to someone but now they're busy with something else  just kinda a bummer, idk"," surprise"
"@xoshayzers i knoww  things won't be the samee &lt;/3"," surprise"
"OMG-ness it's 11:18 pm and I need to beup early to set up my garage sale it starts a 8am, wish I said 9am. I'm beat."," surprise"
"@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me"," surprise"
"Okay, so twitter suddenly changed, how do I respond to messages now"," surprise"
"ugh.. my dad just told me to read an article about Kavya Shivashankar the spellin bee girl..and be more like her."," surprise"
"Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!"," surprise"
"Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck"," surprise"
"@ThaBillCollecta  YEA     I GOTTA BE UP AT 7:30","@thabillcollecta  wor"
"I hate when my bf beats da dogs. But I guess that the only way to teach these pitts."," surprise"
"sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend"," surprise"
"I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu"," surprise"
"think i may have broke a toe at the bar tonight......thanks drunk girl for steppin all over me!!!!!"," surprise"
"Not one sale done today at work. Explored balconies in the big theater w coworkers. A fun day, but void of chili fries and tips"," surprise"
"@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on..."," surprise"
"@sillybabyjulie me too"," surprise"
"@digenis that story reminds of living in Portugal"," surprise"
"@jhicks  youre diabetic?   so is my dad.  &amp; i might be too, not sure.  are you still allowed to eat sugar throughout the day?"," surprise"
"I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation."," surprise"
"my roommate @tess_tickle loves to ignore me","hate"
"@SuperFiasco  I'll make him nachos tomorrow. Better than if he would have made them himself."," surprise"
"@MyDailyRoutine yeahhh. &amp;dont judge my pillow"," surprise"
"Scary lightning and thunder  I'm glad it's over now. Going to sleep, I hope I'm not late to school tomorow again. Haha"," surprise"
"my teeth and head hurts"," surprise"
"I HATE rob zombie movies. &amp; the smell of weed. Vommmm."," surprise"
"@jcwentz Maths and Science were the strongest for me i think..dunno bout geography, only did like 1 day of study for 1/2 a year of work!"," surprise"
"Waiting in line @ tryst","neutral"
"Hope I get a job cuz we need an apartment. I'm drunk &amp; miss my lil punkin  TEHE!!!"," surprise"
"just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to beover"," surprise"
"I need to be held...  Gnite.","happy"
"Hanging out with sam, billy, and veronica. not going to school tomorrow to take sam to body shops. Dang car accidents"," surprise"
"no more arrested development. i am sad."," sad"
"@Giggles_xo  wicked , what time you leaving? how come you cant stay the night"," surprise"
"omg i keep losing followers this is so sad  i want 90 one day....thats my goal ;D"," surprise"
"I feel so deflated. No more doggy.","neutral"
"@blood_rain i wanna see her hair  hows everyone?","# happy"
"I just had to empty my trash on the mac. that was one of THE MOST DIFFICULT things I have ever done in my life. 8,000 pictures are GONE."," surprise"
"im contacting PAWS Philippines so i can find &quot;tiger&quot; a new owner. im so sad. i love my dog soo much"," surprise"
"just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over"," surprise"
"Aww...  Pray for the arroyo family everyone!"," surprise"
"@the_babsi there's a manual process... but it's taking 4ever on my outlook database... pffff. crappy msft product"," surprise"
"Fuuudge. Movie store is closed"," surprise"
"ALO is so sad and quiet and empty tonight","neutral"
"@meganmansyn Hahahaha! It's not horrible, if others were singing with I'm sure it could work. I wish I could afford my own drum set"," surprise"
"@wuzzyangel You never answered your DM I sent you....   I need your info..."," surprise"
"Am trying to get through the pilot of the first season of friday night lights. Oh gosh  Pass the tissue..."," surprise"
"@Mona26 Aw where are you headed to? i just cancelled my trip to Aussie","neutral"
"I have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!"," surprise"
"@jose3030 I didn't think anyone caught that"," surprise"
"I need to be sleeping.. But i'm not even tired..","neutral"
"0"," surprise"
"OH NEVERMIND I THINK THIS THING IS UNSALVAGEABLE"," surprise"
"lyin in bed, up faaaaar too early","neutral"
"Sad that Christian Lacroix had to file bankruptcy"," surprise"
"I dont feel good AT ALL. fuckkk"," anger"
"why did i agree to work a double shift","neutral"
"looks like i'll never go to the zoo","neutral"
"@djvinceadams Ohh poor girl  I'll email her... I am relying on you being here in October Mr!!"," surprise"
"When will Medhurst play again?","neutral"
"@Moss1982 bad times?","neutral"
"aarrgghh - fu*k.....a hose has leaked water all over the new floating floor"," surprise"
"Have to go to the dreaded DMV tomorrow"," boredom"
"@duncm I'm a bit Ben's Thai-ed out"," surprise"
"english class! working on interactive orals"," surprise"
"@SharonHayes Thank you for the rec but that doesn't work"," surprise"
"@dmoneymania  I'm sorry. Excited for tomorrow night? Karaoke!! Getting anything special for bday?"," surprise"
"My puppy Gizmo h8s me..  haha. He still growls @ me.  I always look back @ my long pruple scar on my fingie"," surprise"
"I don't know how ima work out tomorrow wit my body dis sore  ugh"," surprise"
"in 7-11  w/o you"," surprise"
"@becjee Yeah, plus it's just a little too far to walk to Pinocchio's for sushi"," surprise"
"I'm feeling this pressure in my head that always kicks in just before a nasty headache. I'm not looking forward to this."," surprise"
"Taylor Swift and Joe Jonas looked really good together. I'm kinda sad they broke up."," sadness"
"I'm suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.","i will give you, by selecting the emotion"
"Lady across the way had a miscarriage, say a prayer"," surprise"
"God I just want to sleep.","neutral"
"@ksutt11 ohhhh thunderstorms...boo  why do they always have to make the power go out??","neutral"
"I feel so deflated. No more doggy."," sadness"
"Found my book. Starting a real paper-bound journal tonight. Have an annoying zit above my lip. Makes me look like I have herpes"," surprise"
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80'S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK"," surprise"
"is feeling bad  just got bad news about my Mum"," sadness"
"@RealBlackWidow But but I dun wanna"," surprise"
"@imjustlalayone damn girl I'm so down but ya gotta let me know so I can get my kit together &amp; I got a flyer  Any next weekend? I&quot;M DOWN!"," sadness"
