tweet_id,sentiment,content,Detected Emotion
1957243718,worry,My baby was so drunk I brought her home for an hour to pass out then carried her to the car,no emotion detected
1957246875,worry,i pulled a muscle in my neck this morning just feels like its getting more sore,no emotion detected
1957249686,boredom,Friday tubes at work are slow..,no emotion detected
1957250995,hate,almost everyone can suck my clit right about now. ive had it up to here with people fucking me over !,no emotion detected
1957256459,worry,Oh good God crampsss...,no emotion detected
1957260020,worry,Can't get the sound to work while on DVD. I was going to watch Mary Poppins.,no emotion detected
1957264295,worry,Gotta a lot of work knocked out on the project but there's one feature that just refuses to work right. Can't release next version until,no emotion detected
1957266393,worry,The computers and the Ethernet at school are so slow!,no emotion detected
1957268164,worry,very very bad headache that is getting worse by the minute not better.,no emotion detected
1957273033,worry,someone has hacked into my emails!! fuck off!!,no emotion detected
1957286023,hate,The Taxi Q at Pelangi was super loooong.. and now I'm getting headaches because of the hot-cold transition,no emotion detected
1957292653,worry,thinks its annoying when i keep getting twitter error messages from my mobile,no emotion detected
1957305086,sadness,OMG sore shoulder,no emotion detected
1957306485,neutral,FML still awake  melatonin not working!,no emotion detected
1957321474,worry,valium makes you feel goood. i need more. i can't fall back asleep. i want my mommy,no emotion detected
1957322446,surprise,my cheeeks hurt so bad. what happened!?,no emotion detected
1957328439,worry,Hoping that this will just heal on it's own because anything I put on it just makes it worse. Owww,no emotion detected
1957340848,worry,"@busays12 dont undrstand malaysian busays.just english,tagalog at waray only",no emotion detected
1957343450,enthusiasm,"Google Wave looks cool. I should be working for these guys, I came up with some of these ideas years ago.  http://tinyurl.com/m77gp7",no emotion detected
1957345027,sadness,fell asleep waiting for my ride!,no emotion detected
1957345942,neutral,@ayawan I actually meant to type &quot;end of September&quot; but I was in the middle of a conversation with someone and I cant multitask,no emotion detected
1957350007,worry,@galaxydazzle okay thank you! i can't find it,no emotion detected
1957362871,sadness,have a splitting headache!,no emotion detected
1957362899,sadness,OMG. Period cramps are FTL. So much pain.,no emotion detected
1957365292,worry,"@onmammaz ugh! I have a knee injury too, except mine is just an infected cut that hurts like hell",no emotion detected
1957376526,neutral,"You need to remember the data the customer has entered on previous pages when they use the back button. So, so many don't do this",no emotion detected
1957385439,worry,"@irascian ach, probably not... they are labeled as MI-5, which I believe was the name used when they aired on BBC America",no emotion detected
1957388050,worry,Ahh! my right kidney hurts soooo bad!!! Ooommmmggggg!!!!,no emotion detected
1957388211,worry,Blehckk ! my cereal is yuck  why does it taste sour ?,no emotion detected
1957399972,worry,@r4nt penis.  @shdwtrev i hope you made sure it's okay. D:,no emotion detected
1957403428,sadness,20 mins from BEJ to Semanggi. Traffic on Friday  *siggghh*,no emotion detected
1957403480,worry,Trying to get to sleep but my migraine is getting in the way,no emotion detected
1957403707,neutral,@itsJorx what do you mean jorx?,no emotion detected
1957406858,worry,"I just managed to stab a piece of bhuja (hot, of course) into the roof of my mouth. Blood everywhere - well, at least in my mouth.",no emotion detected
1957408740,neutral,@poohbaby91 hey you WHORE!! that's kinda mean dont yu think?!,no emotion detected
1957414375,neutral,am hungry agaaaaaaiiiin maaaam,no emotion detected
1957421539,neutral,"I'm going to see Le Mis tonight. - myonlysanction: ugh, so jealous. aw  im a sucker for musicals, but i... http://tumblr.com/xtl1wb089",no emotion detected
1957426142,worry,"Youtube's tubes appear to be clogging up somewhat today, connection errors a plenty.",no emotion detected
1957429876,neutral,wishes that she has a private jet so that she can go see her BFF @ times like this.. ok ok..ot really thinking of carbon footprint here.,no emotion detected
1957430884,empty,"I spent my free time over the last few days converting my server to 64bit, getting VT-x working etc just to get something to run. No Luck",no emotion detected
1957434786,worry,vmware fusion seems getting slower and slower,no emotion detected
1957445955,neutral,@amazondotjon Can you ask Ryan why he stopped following me on Twitter,no emotion detected
1957448065,worry,I feel like I'm on alott of drugs,no emotion detected
1957449197,sadness,ouch  epic bruise between my toes and a lump just under my ankle  bad times,no emotion detected
1957451307,surprise,Owww I'm aching alll over!!,no emotion detected
1957451499,worry,massive headache. argh,no emotion detected
1957452386,sadness,Heading home. Could really have done without banging my head on the way into the bus,no emotion detected
1957454181,surprise,umm...why will it not let me change my background?! im twitter-challenged.,no emotion detected
1957465259,hate,FUCKSAKE i shouldn't smoke so much stuff.,no emotion detected
1957466403,worry,Why don't any of my friends ever miss me  why do 40 year old pervs like me  why can't I be a shape shifter ((((((((((((((((((,no emotion detected
1957480314,hate,@Epiphora I will never forgive you for burying the erotica. You're snuffing out our love.,no emotion detected
1957495917,neutral,@krissysalisbury don't ask  Hoping that today will be an improvment on the rest of the week. Looking forward to the weekend weather!,no emotion detected
1957505599,worry,"E docs are getting younger these days.can u guess where am i??yup, NUH!! paying my ear doc a visit. Ouch!!",no emotion detected
1957516725,neutral,backache,no emotion detected
1957516892,boredom,"Finishing the video. Fuck me, it's so long",no emotion detected
1957524173,neutral,"Ghhh! Went an hour earlier to bed thinking ill get an area hr of sleep, woke up an hr earlier. Today is gonna be a looooong one again.",no emotion detected
1957530310,worry,My dead grandpa pays more attention to me than you do,no emotion detected
1957533942,sadness,going to bed...with NO sexy time UGHHH!,no emotion detected
1957540034,sadness,Damn I failed in my assassination attempt on Louis  re: http://ff.im/3mrIM,no emotion detected
1957558817,sadness,Headache,no emotion detected
1957559642,worry,@DavidAWatson link no worky-work,no emotion detected
1957581930,worry,"actually, i think i'm being mean to her....i feel sorry now",no emotion detected
1957589272,sadness,"How I wish I get at least 2 days-off in a row. 1 day off is not enough to rest.  3 days on, 1 day off, 4 days on, 1 day off...Ugh!!!",no emotion detected
1957599828,worry,driving lesson then off to ikea with the mother and finally work. today is going to be wank,no emotion detected
1957602228,fun,"I'm saying goodbye to Sydney for a few days, and Hello to Rapeville.... I'll miss pretty",no emotion detected
1957606569,worry,@dalzinho I was trying to back all her documents up but it wasn't playing along. its taking forever but am back at it again now,no emotion detected
1957611093,neutral,In Kelantan! Good to be (sort of) home! :pI'm guilt stricken after having that turtle egg.  Really. Won't do it again. Really.,no emotion detected
1957615648,worry,"@_refugee_ /me gets &quot;Your video will start in 15 seconds&quot;, Exiting to watch ... for minutes  #flash #linux #fail",no emotion detected
1957625794,neutral,my thumb hurts after breaking the nail....,no emotion detected
1957633293,worry,Burnt 3 of my fingers from trying to keep my hands warm over the rice cooker.,no emotion detected
1957638410,sadness,owww i think i tore something in my leg,no emotion detected
1957640700,neutral,"Back on track with the transcription process. Still can't stop my lappy overheating, though",no emotion detected
1957650383,sadness,@BlueEyed_Cat @himynameisrose we all know and yes dont remind me im so effin jealous  fuck aust some times,no emotion detected
1957653553,worry,@peacelovetylr Help i need the stalker police can you give me their number,no emotion detected
1957657920,worry,is there a way to &quot;stabalise&quot; a shaky video in post production? I apparently have a very shaky hand.,no emotion detected
1957658932,sadness,"Fell down the stairs at dancing, sword fell on me and now my bum hurts",no emotion detected
1957663654,worry,"@MadamSalami i had to get the same sized jeans, i couldnt get my hips into the 14's",no emotion detected
1957664578,hate,I bruised my toe worse than my I did my finger. It fuckin hurts right now even with ice on it,no emotion detected
1957669715,surprise,"Uuu, am din nou PR 4. Yeey, my epenis is now bigger! ... ... ...",no emotion detected
1957674693,hate,"urgh, my head is banging.",no emotion detected
1957677002,worry,"i juz registered my cp in twitter, but my tweets wont go thru? Argh..Hmm wanna follow my idols lyk @DavidArchie away from the PC..",no emotion detected
1957680374,worry,@Danisidhe Wow - that's one deep sleep!  Wish I could sleep like that -one little noise and I'm awake,no emotion detected
1957693897,sadness,fuck elora danan are breaking up  too and im missing their last nsw show too  def need to hit up melbs !! someone come with ?,no emotion detected
1957699183,surprise,Rather jealous of my football club who have all gone to Portugal on tour today. They're even playing a Sporting Lisbon veterans side.,no emotion detected
1957701215,worry,i got a bruise on my foot out if nowhere!  it hurts!,no emotion detected
1957716189,worry,My neck hurts a lot.,no emotion detected
1957720016,worry,dual reject ...  http://tinyurl.com/mfm7tl,no emotion detected
1957739309,worry,my boss is bullying me...,no emotion detected
1957742569,hate,I am so damn hungry it's not even funny!,no emotion detected
1957743172,neutral,@geekgrrl  I missed one,no emotion detected
1957745916,sadness,"[Wrong!] #liesboystell Your the only one, I love (they really have several women)  http://tinyurl.com/nl6pct",no emotion detected
1957746643,neutral,@Reynolds_x all three are in the first 2 weeks of june for me,no emotion detected
1957757593,fun,"@ashetler I've totally been MIA, i know  bad me",no emotion detected
1957764405,happiness,AH! so nice to be back on bike commute although three days off and my (what google sez are called) my quadriceps literally screaming. gah,no emotion detected
1958046204,neutral,It's cause you give me a reason to assume.  - http://tweet.sg,no emotion detected
1958051442,fun,Working at home  Wifi not reaching the garden,no emotion detected
1958054790,worry,"Can't sleep, clowns will eat me",no emotion detected
1958063917,sadness,@RedMummy And it's such glorious weather too - poor you,no emotion detected
1958065575,worry,Why am I limited to only being able to sync with 1 MS Exchange account on iPhone?  ... same goes for Outlook. Why... http://bit.ly/etB8H,no emotion detected
1958067947,worry,feels guility . sorry 'bout that  http://plurk.com/p/wyqow,no emotion detected
1958072584,worry,I stung myself with stinging nettles all down my shin,no emotion detected
1958073482,fun,@jodieharsh Ahhh so Jealous!  Have a nice time and I'll see you when you get back x,no emotion detected
1958073734,worry,I dreamt someone committed suicide w a drip stand!  - http://tweet.sg,no emotion detected
1958076611,neutral,Getting really guilty,no emotion detected
1958082200,sadness,i have the bigggest headache,no emotion detected
1958092381,sadness,Got three shots today.   I can't lift my arms...,no emotion detected
1958110692,neutral,@mateoviento don't see the link on my web interface,no emotion detected
1958116760,worry,Home. Don't think i'll wake up at 5. :-p I had set an alarm for 6 in the kids' room &amp; forgot to turn it off. I feel bad about that.,no emotion detected
1958119313,hate,@tweetie Why do I have to enter my registration details every time I update?,no emotion detected
1958120056,surprise,Oh. Seems the playable Joker PS3 exclusivity on Arkham Asylum is much bigger than thought.,no emotion detected
1958130674,sadness,@EPMorgan I know!  I can read bt I can't sit outside coz I gota answer the phone,no emotion detected
1958131886,worry,working wearing sunglasses...my eyes are bleeding!,no emotion detected
1958133344,sadness,"@ShaneSakata Hi Shane, that link doesn't seem to work",no emotion detected
1960122166,worry,I just woke up. My teeth really hurt from my rubber bands,no emotion detected
1960122779,worry,Burnt the fuck out of my hand today.,no emotion detected
1960133559,worry,Can't seem to find the new Mountain Dew Throwback in 12 packs....only in 1 liter bottles,no emotion detected
1960143909,surprise,Why can't I buy the Nokia N97?!? Amazon says &quot;cannot ship to this address.&quot;,no emotion detected
1960158758,love,wants to smoke a cig but doesn't have a lighter.,no emotion detected
1960160266,hate,not sure why I can't get tweetdeck to work on my computer. want to know what all of the hype is about,no emotion detected
1960168026,worry,@bdule the installer is crashing towards the end of the installation,no emotion detected
1960193477,worry,@fuzzydave at YVR.... Fog delay is in SFO so we can't leave yet,no emotion detected
1960193716,worry,@fosforo  shame on me!!!,no emotion detected
1960200429,worry,Waiting waiting waiting very difficult for an impatient lass like me...,no emotion detected
1960202790,sadness,"@katcal i'm relying on my mobile, which lacks reception. Trying to help, but just looking silly",no emotion detected
1960207689,fun,@NotARichGirl everyone else get all the good stuff!!,no emotion detected
1960208219,hate,"@cskly Kev, fuck off! I'm stuck in Westgate working",no emotion detected
1960209316,worry,I cut my thumb on a broken coffee pot.,no emotion detected
1960210067,worry,"Oh, ew. That's too bad - after not using this certain lip gloss for a long time I just tried to wear it - literally making my lips burn.",no emotion detected
1960216827,empty,Fighting with Nagios configuration.  Great tool but the config is a bit of a labour,no emotion detected
1960252817,worry,"@BleedingSweat I saw this link, but I get an error on the CNN site when I open this page and cannot read the article.",no emotion detected
1960265389,sadness,My stomach hurts so bad,no emotion detected
1960268822,empty,Is hungry with a sub,no emotion detected
1960269312,neutral,It's hella itchy!  http://twitpic.com/66m7f,no emotion detected
1960293684,worry,"My knee fucking hurts man  Haylee doesn't even care, GET ME MORE MILKSHAKE-SHAKE-SHAKE-SHAKE IT!",no emotion detected
1960297077,worry,@hotelqueen hmm...your blog won't let me post a comment.,no emotion detected
1960304042,sadness,Have spent half of the day troubleshooting something that wasn't even within my control. Clusters doesn't always mean high availability.,no emotion detected
1960305421,neutral,@MrBillyBones Twitpic won't show me the picture,no emotion detected
1960310709,worry,sitting in the parking lot-by myself  i miss you baby. couple min til i gotta deal with a bitch. then i'm peacin' out and hitting the gym,no emotion detected
1960315759,neutral,@marianawerneck o que houve?,no emotion detected
1960319421,hate,THE SUN IS SHINING&lt; THE SKY IS FACKING BLUE&lt; TELETUBBIES? I HAVE TO FUCKING WORK.,no emotion detected
1960328274,hate,rt : @LiLi214 ughhhh got fuckin pulled over for talkin on my cell in a school zone  FUCK HIGHLAND PARK POLICE rude mofo,no emotion detected
1960337145,hate,"@dmolsen Gain an instant follower, just use the #tits tag in a tweet. WTF? Lesson learned, Summer of Todd to get a new *official* tag.",no emotion detected
1960353321,surprise,"@bex_1210 holy crap, I need to see that! Too bad I gotta wait until tomorrow",no emotion detected
1960354374,worry,"@Boy_Kill_Boy oh sorry! not getting all my replies  nothing against you. and yes, i do know nirvana",no emotion detected
1960386912,neutral,the puppy shall loose his um... manly parts today  poor guy....,no emotion detected
1960388281,hate,@chellemariee I have my 830 class  fuckin school! what time you work wed? if jade comes ima have to get her in antioch at amtrak.,no emotion detected
1960391389,worry,@illmindPRODUCER careful the cops dont mistake you and your kids for criminals - i hear there is some indiscrimate shooting going on,no emotion detected
1960419728,empty,"@alanmcnamee nope no idea, I've registered, so far no response",no emotion detected
1960423130,sadness,@GarethCliff my heart hurts for them. Imagine how shit their skin will be when they're twenty from all the stuff they smeer on it. shame,no emotion detected
1960430302,love,@_Trystianity_ you got some sexy pics girl!!!  Love the eyebrow piercing!  I used to have a ton of piercings now I only have my ears  lol,no emotion detected
1960434953,love,i ditched school ( i hate it ) and im taking a huge dump.......    it hurts REAL BAD!,no emotion detected
1960451739,neutral,Anyone know a good PNG compression tool for OS X? Tried PNGCrush but it just doesnt run,no emotion detected
1960452956,neutral,Is there a cvs equivalent to &quot;git status&quot;?,no emotion detected
1960472599,worry,"Grrr, I can't even practice Trumpet or vocals because my glands in my neck hurt too much! Guitar it is then.",no emotion detected
1960473783,surprise,&quot;yeah them men love them blowjobs&quot; -something you never want to hear your grandma say over breakfast talkin about charles barkley,no emotion detected
1960489887,sadness,http://tinyurl.com/nqudrt - Hurt my finger at work,no emotion detected
1960492482,love,"i saw some lovely skinny jeans today for ï¿½3 at a charity shop, but they were just a little bit tight on my thighs.  ahhh so annoying",no emotion detected
1960494819,neutral,@_NewAmerykah_ im alllllllllllllllllllllllllllll about that... a nigga woke up late... didnt get my breakfast (wakenbake),no emotion detected
1960511009,worry,My twitterberry wont work on my friends and me,no emotion detected
1960511157,surprise,Oh man sold out  had to step away from my desk for 10 min! @theaskanison you were right,no emotion detected
1960537578,neutral,@philleasfogg,no emotion detected
1960541171,sadness,"Drop the girl she's only got it for your heart she's sure to leave broke and bleeding, and you know she'll turn her back on you.  I lo ...",no emotion detected
1960562456,neutral,@WillKnott,no emotion detected
1960567413,hate,Ugh! I can't access through my mobile web!,no emotion detected
1960574654,neutral,@arulnick I tried that but I can only use import/export for contacts saved locally on my Outlook. Thanks Though,no emotion detected
1960590815,worry,Can't play World in Conflict because the computer is running too slow,no emotion detected
1960598323,worry,"@LushLtd why can't i buy the new night in for toes? i see it, it's within my grasp, but it's just not bringing it to my shopping cart",no emotion detected
1960598982,anger,@_hayles are u serious???? you touched his arse? ohmygod u bitch!!! lol aaaaawwwwwww y did u tell me that!!!,no emotion detected
1960602485,worry,Fuck. My arms feel like really sore jell-o,no emotion detected
1960620873,worry,I'm trying to figure out how on earth I am supposed to be able to update my statuses via my phone. Someone help meeee!,no emotion detected
1960623734,neutral,@xDKrystal yen lol but i can only get the vid on my phone and ipod cant find the song  lol,no emotion detected
1960627142,worry,@laurenmichell Scary!,no emotion detected
1960628368,worry,NEED SUMTHING FOR THIS EXCRUCIATING HEADACHE,no emotion detected
1960659700,surprise,my best friends bought something which i really want.,no emotion detected
1960668746,empty,Facebook.com isint letting me change my profile picture,no emotion detected
1960669889,neutral,"Sitting here, waiting to go to the gym.....almost left, then realized I never charged my iPod from my trip to Wisconsin....it's dead",no emotion detected
1960673237,worry,Hey #rda2009cla presentation was too large to post!  sorry   (From rules to entities: cataloguing with RDA live &gt; http://ustre.am/2j3l),no emotion detected
1960673469,surprise,@mynameisgay You are so lucky you get to travel.,no emotion detected
1960704293,worry,@marvelvscapcom I entered it in within 20 seconds of post and still didn't get it,no emotion detected
1960705157,worry,super hungry... Dominos or martabak... both tempting and fattening,no emotion detected
1960705629,surprise,My chick wont shut up  Will only stop chirping if i sit with the bloody thing.,no emotion detected
1960708674,sadness,(@MeowMeowHotMix) My chick wont shut up  Will only stop chirping if i sit with the bloody thing.,no emotion detected
1960714631,worry,Woke up and felt a sharp pain in the back of my leg. No school for me today,no emotion detected
1960751542,neutral,@MikeAbrams Link doesn't work,no emotion detected
1960758721,fun,@yoitsbooty ) NICE. I want it. I'll get the pirated. ) I MISS YOU,no emotion detected
1960808956,sadness,"@PhilipHotchkiss Sorry, but I don't see a Twitter user named @TomClain",no emotion detected
1960811720,hate,"ow, I just rolled over my toe with my desk chair.",no emotion detected
1960815185,hate,@RoTone u suck! had i went to jail i couldnt tweet anymore,no emotion detected
1960817866,surprise,My mom just texted me and told me that Rodney was chasing fireflies in their backyard. Awwwww I'm miss him    http://twitpic.com/66pn1,no emotion detected
1960864881,neutral,@aigulf,no emotion detected
1960870774,neutral,http://pic.im/4d8   Horten moss kï¿½,no emotion detected
1960906439,worry,I always feel like I'm betraying her trust in me when I drop the pup off at the groomer.,no emotion detected
1960907499,neutral,"thought id tanned after an hour in the sun, i was wrong....i've just burnt",no emotion detected
1960909310,neutral,@circusaudium it's saying that it is the wrong link-it cannot find the address.,no emotion detected
1960913872,worry,Mouth hurts,no emotion detected
1960945108,worry,"ok, i have to turn off all of my twitter device updates until i get a new battery. phone goes from fully charged to dead in about 5 hours",no emotion detected
1960948752,worry,I'm nauseous  I need a yogurt or something..,no emotion detected
1961000534,surprise,I sunburnt through factor 30,no emotion detected
1961005387,worry,has toothache,no emotion detected
1961033997,worry,@KMON3Y LOL well these girls didnt!!! And my girl made me tip the lady and she put her boobies in my face,no emotion detected
1961038032,neutral,honestly i cannot figure this twitter thing out,no emotion detected
1961044331,worry,"Woke up.. Walked out of my room, and a bug flew in my eye",no emotion detected
1961049328,surprise,im not going to my dads tonight !!!!! and hes got a 12 foot pool  he has to tell me that hes got things when im not going TWAT !!,no emotion detected
1961060202,worry,"Ouch, my back. Man I'm sick",no emotion detected
1961062763,worry,My shirt is a fuzz magnet today and I feel totally uncomfortable,no emotion detected
1961085903,neutral,@karneee love it! Really its simple i think of a word and put twi on the front i should be more clever,no emotion detected
1961097027,empty,@hellorachael yep,no emotion detected
1961099229,hate,im tweeting... this is so hard... i dont get it...,no emotion detected
1961102942,sadness,@ingek73 I'm on blip but can't get it to work on me iPhone,no emotion detected
1961106228,neutral,@Selfish_Hisashi Mï¿½y em mï¿½ torrent thï¿½ bï¿½ ch? trï¿½n nhï¿½ ?ang Thiï¿½n Long l?i ch?y xu?ng ?i?u tra,no emotion detected
1961121802,worry,has at least 30 bug bites on her legs,no emotion detected
1961140626,hate,Open office &quot;writer&quot; is weird. I need Word to open word documents correctly,no emotion detected
1961142780,neutral,"@Sobk13 Yes, it seems that way - page not found",no emotion detected
1961144804,neutral,@azboricua No. Its a bug  in coding. Go into the forum then do reg. Let me know if that work!,no emotion detected
1961145215,neutral,Sorry I'm not using tweetdeck it's not letting me tweet today,no emotion detected
1961145713,neutral,@RolliePollie32 I ate some hot food,no emotion detected
1961151572,worry,half my class just called me retarded it hurt for real,no emotion detected
1961154556,worry,hand hurts,no emotion detected
1961171018,neutral,Ow it hurts,no emotion detected
1961174215,hate,Then back to fucking school,no emotion detected
1961178192,worry,Hmm... the new sports catalog and card jitsu updates are not appearing for me,no emotion detected
1961215362,happiness,Straighening my hair and its not going as straight as i want it to be what a  bummerrr for me,no emotion detected
1961215445,happiness,@josemarques I don't feel like having to reboot  If only OSX supported Hibernate &amp; Reboot in Bootcamp... -.-,no emotion detected
1961237275,worry,"it's so slow, and I want to go home already",no emotion detected
1961248597,love,changos el link no me sirve mta,no emotion detected
1961262703,sadness,@lexie_98 Kevin can't leave work until 2,no emotion detected
1961264949,worry,Back is SORE... should not have done that jump last night,no emotion detected
1961291085,worry,My throat is killing me,no emotion detected
1961291543,neutral,is still craving for a cheeseburger.,no emotion detected
1961366316,sadness,Headache,no emotion detected
1961410498,empty,@alisonhaislip I envy everyone on AOTS...,no emotion detected
1961417007,hate,My TweetDeck is languishing in API Hell. Again.,no emotion detected
1961422360,worry,My teeth and my eye hurt   someone make them feel better,no emotion detected
1961422696,sadness,headache,no emotion detected
1961430716,worry,how come when i straighten my hair it has to sprinkle,no emotion detected
1961449908,love,"@fifthroom I tried TD, but it battled with CS3 over my processor. Nambu is really good, but unintuitive",no emotion detected
1961459940,worry,I burnt my finger on the toaster,no emotion detected
1961462822,happiness,"@MissShell20 eeeeep so jealous ;) I'm at work  um, how can u receive Viva? Do they broadcast it online? :plz:",no emotion detected
1961474612,sadness,"@Lesley_M Melted maybe 2 square inches of skin. Ran it under cold water for a min or two and then iced until the ice melted. Now, hurts",no emotion detected
1961475719,worry,"#3wordsaftersex  Ow, rug burns",no emotion detected
1961517164,worry,My cankle is sore.,no emotion detected
1961547644,happiness,@isuhin O dear. so you're going to be fucking that kiddoe and I'm going to sit there doing..  nothing! awesome  WHERES THE SHOPPING?!&lt;3,no emotion detected
1961557167,neutral,"@FrankieTheSats comon , answer me  what do you think about my friend drawning? x http://www.twitpic.com/5m7vd",no emotion detected
1961558960,neutral,@KuhliZzle i cant even call a nigga man  bitches on bogus shit. yah digg?,no emotion detected
1961567207,worry,@fightingfatigue Got any tips for a mum of a 14 yr old with CFS who can't sleep at night. He falls asleep about 4a.m. till midday or so,no emotion detected
1961573536,sadness,Just burned my tongue!!,no emotion detected
1961606703,worry,Sunburn ouch,no emotion detected
1961646529,worry,"@itsgabbith oh no!  thats no good! I pierced  my bottom lip on the right side...myself in 12th grade, but we had a no piercings dress code",no emotion detected
1961648166,sadness,"I need to get in a good, hard workout today after work, I feel like I've been slacking! No good",no emotion detected
1961648530,worry,This is a joke surely? http://prune.it/WEAt,no emotion detected
1961658707,neutral,@kennyblak I spoke but when niggas be looking at ya crazi all the time u just stop....  plus I always used to see yall when I just wanted,no emotion detected
1961701176,sadness,"I have never had a Starbucks coffee in my entire life, people keep making me jealous",no emotion detected
1961701968,neutral,@captainkarenn I dont think so,no emotion detected
1961738726,worry,"Just updated my To-Do List (notepad, need something else?) with Flickr and downloads. Internet being slow and sluggish",no emotion detected
1961741398,neutral,@thegoodhuman,no emotion detected
1961743698,worry,i have three hours to do my hair. and it STILL won't be straight,no emotion detected
1961746208,worry,"@MBLeah Unfortunately, no.",no emotion detected
1961746482,neutral,@projectcloud i'm trying  in lots of pain though.,no emotion detected
1961751982,neutral,fuck i hate when the strawberries run out in my special K,no emotion detected
1961760353,neutral,Someone just fuck up birthday sex for me ...  he basically said the song is about a nigga being selfish ... Listen to the song carefully,no emotion detected
1961769545,worry,Bar exam madness:  topic for today is torts,no emotion detected
1961818155,relief,@clothes_w thank you..,no emotion detected
1961831968,worry,i just fell going into my house.. not fun,no emotion detected
1961863429,neutral,"@opaque19 I can't do that.  I take it at 11, or I work through it.  Those are my options here.",no emotion detected
